Shuv-Flip Angle Mapping
==============================

Format: shuv_angle,flip_angle -> row,col
60,345 -> 23,4
75,0 -> 0,5
75,15 -> 1,5
75,30 -> 2,5
75,45 -> 3,5
75,60 -> 4,5
75,75 -> 5,5
75,90 -> 6,5
75,105 -> 7,5
75,120 -> 8,5
75,135 -> 9,5
75,150 -> 10,5
75,165 -> 11,5
75,180 -> 12,5
75,195 -> 13,5
75,210 -> 14,5
75,225 -> 15,5
75,240 -> 16,5
75,255 -> 17,5
75,270 -> 18,5
75,285 -> 19,5
75,300 -> 20,5
75,315 -> 21,5
75,330 -> 22,5
75,345 -> 23,5
90,0 -> 0,6
90,15 -> 1,6
90,30 -> 2,6
90,45 -> 3,6
90,60 -> 4,6
90,75 -> 5,6
90,90 -> 6,6
90,105 -> 7,6
90,120 -> 8,6
90,135 -> 9,6
90,150 -> 10,6
90,165 -> 11,6
90,180 -> 12,6
90,195 -> 13,6
90,210 -> 14,6
90,225 -> 15,6
90,240 -> 16,6
90,255 -> 17,6
90,270 -> 18,6
90,285 -> 19,6
90,300 -> 20,6
90,315 -> 21,6
90,330 -> 22,6
90,345 -> 23,6
105,0 -> 0,7
105,15 -> 1,7
105,30 -> 2,7
105,45 -> 3,7
105,60 -> 4,7
105,75 -> 5,7
105,90 -> 6,7
105,105 -> 7,7
105,120 -> 8,7
105,135 -> 9,7
105,150 -> 10,7
105,165 -> 11,7
105,180 -> 12,7
105,195 -> 13,7
105,210 -> 14,7
105,225 -> 15,7
105,240 -> 16,7
105,255 -> 17,7
105,270 -> 18,7
105,285 -> 19,7
105,300 -> 20,7
105,315 -> 21,7
105,330 -> 22,7
105,345 -> 23,7
120,0 -> 0,8
120,15 -> 1,8
120,30 -> 2,8
120,45 -> 3,8
120,60 -> 4,8
120,75 -> 5,8
120,90 -> 6,8
120,105 -> 7,8
120,120 -> 8,8
120,135 -> 9,8
120,150 -> 10,8
120,165 -> 11,8
120,180 -> 12,8
120,195 -> 13,8
120,210 -> 14,8
120,225 -> 15,8
120,240 -> 16,8
120,255 -> 17,8
120,270 -> 18,8
120,285 -> 19,8
120,300 -> 20,8
120,315 -> 21,8
120,330 -> 22,8
120,345 -> 23,8
135,0 -> 0,9
135,15 -> 1,9
135,30 -> 2,9
135,45 -> 3,9
135,60 -> 4,9
135,75 -> 5,9
135,90 -> 6,9
135,105 -> 7,9
135,120 -> 8,9
135,135 -> 9,9
135,150 -> 10,9
135,165 -> 11,9
135,180 -> 12,9
135,195 -> 13,9
135,210 -> 14,9
135,225 -> 15,9
135,240 -> 16,9
135,255 -> 17,9
135,270 -> 18,9
135,285 -> 19,9
135,300 -> 20,9
135,315 -> 21,9
135,330 -> 22,9
135,345 -> 23,9
150,0 -> 0,10
150,15 -> 1,10
150,30 -> 2,10
150,45 -> 3,10
150,60 -> 4,10
150,75 -> 5,10
150,90 -> 6,10
150,105 -> 7,10
150,120 -> 8,10
150,135 -> 9,10
150,150 -> 10,10
150,165 -> 11,10
150,180 -> 12,10
150,195 -> 13,10
150,210 -> 14,10
150,225 -> 15,10
150,240 -> 16,10
150,255 -> 17,10
150,270 -> 18,10
150,285 -> 19,10
150,300 -> 20,10
150,315 -> 21,10
150,330 -> 22,10
150,345 -> 23,10
165,0 -> 0,11
165,15 -> 1,11
165,30 -> 2,11
165,45 -> 3,11
165,60 -> 4,11
165,75 -> 5,11
165,90 -> 6,11
165,105 -> 7,11
165,120 -> 8,11
165,135 -> 9,11
165,150 -> 10,11
165,165 -> 11,11
165,180 -> 12,11
165,195 -> 13,11
165,210 -> 14,11
165,225 -> 15,11
165,240 -> 16,11
165,255 -> 17,11
165,270 -> 18,11
165,285 -> 19,11
165,300 -> 20,11
165,315 -> 21,11
165,330 -> 22,11
165,345 -> 23,11
180,0 -> 0,12
180,15 -> 1,12
180,30 -> 2,12
180,45 -> 3,12
180,60 -> 4,12
180,75 -> 5,12
180,90 -> 6,12
180,105 -> 7,12
180,120 -> 8,12
180,135 -> 9,12
180,150 -> 10,12
180,165 -> 11,12
180,180 -> 12,12
180,195 -> 13,12
180,210 -> 14,12
180,225 -> 15,12
180,240 -> 16,12
180,255 -> 17,12
180,270 -> 18,12
180,285 -> 19,12
180,300 -> 20,12
180,315 -> 21,12
180,330 -> 22,12
180,345 -> 23,12
195,0 -> 0,13
195,15 -> 1,13
195,30 -> 2,13
195,45 -> 3,13
195,60 -> 4,13
195,75 -> 5,13
195,90 -> 6,13
195,105 -> 7,13
195,120 -> 8,13
195,135 -> 9,13
195,150 -> 10,13
195,165 -> 11,13
195,180 -> 12,13
195,195 -> 13,13
195,210 -> 14,13
195,225 -> 15,13
195,240 -> 16,13
195,255 -> 17,13
195,270 -> 18,13
195,285 -> 19,13
195,300 -> 20,13
195,315 -> 21,13
195,330 -> 22,13
195,345 -> 23,13
210,0 -> 0,14
210,15 -> 1,14
210,30 -> 2,14
210,45 -> 3,14
210,60 -> 4,14
210,75 -> 5,14
210,90 -> 6,14
210,105 -> 7,14
210,120 -> 8,14
210,135 -> 9,14
210,150 -> 10,14
210,165 -> 11,14
210,180 -> 12,14
210,195 -> 13,14
210,210 -> 14,14
210,225 -> 15,14
210,240 -> 16,14
210,255 -> 17,14
210,270 -> 18,14
210,285 -> 19,14
210,300 -> 20,14
210,315 -> 21,14
210,330 -> 22,14
210,345 -> 23,14
225,0 -> 0,15
225,15 -> 1,15
225,30 -> 2,15
225,45 -> 3,15
225,60 -> 4,15
225,75 -> 5,15
225,90 -> 6,15
225,105 -> 7,15
225,120 -> 8,15
225,135 -> 9,15
225,150 -> 10,15
225,165 -> 11,15
225,180 -> 12,15
225,195 -> 13,15
225,210 -> 14,15
225,225 -> 15,15
225,240 -> 16,15
225,255 -> 17,15
225,270 -> 18,15
225,285 -> 19,15
225,300 -> 20,15
225,315 -> 21,15
225,330 -> 22,15
225,345 -> 23,15
240,0 -> 0,16
240,15 -> 1,16
240,30 -> 2,16
240,45 -> 3,16
240,60 -> 4,16
240,75 -> 5,16
240,90 -> 6,16
240,105 -> 7,16
240,120 -> 8,16
240,135 -> 9,16
240,150 -> 10,16
240,165 -> 11,16
240,180 -> 12,16
240,195 -> 13,16
240,210 -> 14,16
240,225 -> 15,16
240,240 -> 16,16
240,255 -> 17,16
240,270 -> 18,16
240,285 -> 19,16
240,300 -> 20,16
240,315 -> 21,16
240,330 -> 22,16
240,345 -> 23,16
255,0 -> 0,17
255,15 -> 1,17
255,30 -> 2,17
255,45 -> 3,17
255,60 -> 4,17
255,75 -> 5,17
255,90 -> 6,17
255,105 -> 7,17
255,120 -> 8,17
255,135 -> 9,17
255,150 -> 10,17
255,165 -> 11,17
255,180 -> 12,17
255,195 -> 13,17
255,210 -> 14,17
255,225 -> 15,17
255,240 -> 16,17
255,255 -> 17,17
255,270 -> 18,17
255,285 -> 19,17
255,300 -> 20,17
255,315 -> 21,17
255,330 -> 22,17
255,345 -> 23,17
270,0 -> 0,18
270,15 -> 1,18
270,30 -> 2,18
270,45 -> 3,18
270,60 -> 4,18
270,75 -> 5,18
270,90 -> 6,18
270,105 -> 7,18
270,120 -> 8,18
270,135 -> 9,18
270,150 -> 10,18
270,165 -> 11,18
270,180 -> 12,18
270,195 -> 13,18
270,210 -> 14,18
270,225 -> 15,18
270,240 -> 16,18
270,255 -> 17,18
270,270 -> 18,18
270,285 -> 19,18
270,300 -> 20,18
270,315 -> 21,18
270,330 -> 22,18
270,345 -> 23,18
285,0 -> 0,19
285,15 -> 1,19
285,30 -> 2,19
285,45 -> 3,19
285,60 -> 4,19
285,75 -> 5,19
285,90 -> 6,19
285,105 -> 7,19
285,120 -> 8,19
285,135 -> 9,19
285,150 -> 10,19
285,165 -> 11,19
285,180 -> 12,19
285,195 -> 13,19
285,210 -> 14,19
285,225 -> 15,19
285,240 -> 16,19
285,255 -> 17,19
285,270 -> 18,19
285,285 -> 19,19
285,300 -> 20,19
285,315 -> 21,19
285,330 -> 22,19
285,345 -> 23,19
300,0 -> 0,20
300,15 -> 1,20
300,30 -> 2,20
300,45 -> 3,20
300,60 -> 4,20
300,75 -> 5,20
300,90 -> 6,20
300,105 -> 7,20
300,120 -> 8,20
300,135 -> 9,20
300,150 -> 10,20
300,165 -> 11,20
300,180 -> 12,20
300,195 -> 13,20
300,210 -> 14,20
300,225 -> 15,20
300,240 -> 16,20
300,255 -> 17,20
300,270 -> 18,20
300,285 -> 19,20
300,300 -> 20,20
300,315 -> 21,20
300,330 -> 22,20
300,345 -> 23,20
315,0 -> 0,21
315,15 -> 1,21
315,30 -> 2,21
315,45 -> 3,21
315,60 -> 4,21
315,75 -> 5,21
315,90 -> 6,21
315,105 -> 7,21
315,120 -> 8,21
315,135 -> 9,21
315,150 -> 10,21
315,165 -> 11,21
315,180 -> 12,21
315,195 -> 13,21
315,210 -> 14,21
315,225 -> 15,21
315,240 -> 16,21
315,255 -> 17,21
315,270 -> 18,21
315,285 -> 19,21
315,300 -> 20,21
315,315 -> 21,21
315,330 -> 22,21
315,345 -> 23,21
330,0 -> 0,22
330,15 -> 1,22
330,30 -> 2,22
330,45 -> 3,22
330,60 -> 4,22
330,75 -> 5,22
330,90 -> 6,22
330,105 -> 7,22
330,120 -> 8,22
330,135 -> 9,22
330,150 -> 10,22
330,165 -> 11,22
330,180 -> 12,22
330,195 -> 13,22
330,210 -> 14,22
330,225 -> 15,22
330,240 -> 16,22
330,255 -> 17,22
330,270 -> 18,22
330,285 -> 19,22
330,300 -> 20,22
330,315 -> 21,22
330,330 -> 22,22
330,345 -> 23,22
345,0 -> 0,23
345,15 -> 1,23
345,30 -> 2,23
345,45 -> 3,23
345,60 -> 4,23
345,75 -> 5,23
345,90 -> 6,23
345,105 -> 7,23
345,120 -> 8,23
345,135 -> 9,23
345,150 -> 10,23
345,165 -> 11,23
345,180 -> 12,23
345,195 -> 13,23
345,210 -> 14,23
345,225 -> 15,23
345,240 -> 16,23
345,255 -> 17,23
345,270 -> 18,23
345,285 -> 19,23
345,300 -> 20,23
345,315 -> 21,23
345,330 -> 22,23
345,345 -> 23,23
